Region Code,Country Code,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,CHE,1960,All,Age_all,[All],52094,100,867.7618325,977.7585916
EU,CHE,1960,All,Age00,[0],1993,100,,2154.594595
EU,CHE,1960,All,Age01_04,[1-4],457,100,,130.0142248
EU,CHE,1960,All,Age05_09,[5-9],193,100,,46.99293889
EU,CHE,1960,All,Age10_14,[10-14],163,100,,38.2629108
EU,CHE,1960,All,Age15_19,[15-19],287,100,,70.1883101
EU,CHE,1960,All,Age20_24,[20-24],455,100,,117.026749
EU,CHE,1960,All,Age25_29,[25-29],412,100,,105.5327869
EU,CHE,1960,All,Age30_34,[30-34],467,100,,125.436476
EU,CHE,1960,All,Age35_39,[35-39],591,100,,161.7848344
EU,CHE,1960,All,Age40_44,[40-44],819,100,,260.9111182
EU,CHE,1960,All,Age45_49,[45-49],1405,100,,406.5393519
EU,CHE,1960,All,Age50_54,[50-54],2272,100,,657.5976845
EU,CHE,1960,All,Age55_59,[55-59],3285,100,,1056.609842
EU,CHE,1960,All,Age60_64,[60-64],4641,100,,1775.439939
EU,CHE,1960,All,Age65_69,[65-69],5757,100,,2811.035156
EU,CHE,1960,All,Age70_74,[70-74],7059,100,,4607.70235
EU,CHE,1960,All,Age75_79,[75-79],8417,100,,7985.768501
EU,CHE,1960,All,Age80_84,[80-84],7595,100,,13347.97891
EU,CHE,1960,All,Age85_over,[85+],5826,100,,23587.04453
EU,CHE,1960,Male,Age_all,[All],27032,100,1041.31325,1047.264838
EU,CHE,1960,Male,Age00,[0],1161,100,,2459.745763
EU,CHE,1960,Male,Age01_04,[1-4],271,100,,150.47196
EU,CHE,1960,Male,Age05_09,[5-9],125,100,,59.60896519
EU,CHE,1960,Male,Age10_14,[10-14],105,100,,48.27586207
EU,CHE,1960,Male,Age15_19,[15-19],212,100,,102.9626032
EU,CHE,1960,Male,Age20_24,[20-24],338,100,,175.5844156
EU,CHE,1960,Male,Age25_29,[25-29],276,100,,141.9023136
EU,CHE,1960,Male,Age30_34,[30-34],321,100,,176.5676568
EU,CHE,1960,Male,Age35_39,[35-39],353,100,,200.1133787
EU,CHE,1960,Male,Age40_44,[40-44],503,100,,327.4739583
EU,CHE,1960,Male,Age45_49,[45-49],880,100,,522.2551929
EU,CHE,1960,Male,Age50_54,[50-54],1425,100,,860.5072464
EU,CHE,1960,Male,Age55_59,[55-59],2042,100,,1411.195577
EU,CHE,1960,Male,Age60_64,[60-64],2775,100,,2371.794872
EU,CHE,1960,Male,Age65_69,[65-69],3233,100,,3644.87035
EU,CHE,1960,Male,Age70_74,[70-74],3628,100,,5642.301711
EU,CHE,1960,Male,Age75_79,[75-79],4020,100,,9305.555556
EU,CHE,1960,Male,Age80_84,[80-84],3225,100,,14793.57798
EU,CHE,1960,Male,Age85_over,[85+],2139,100,,24586.2069
EU,CHE,1960,Female,Age_all,[All],25062,100,728.0282058,912.440383
EU,CHE,1960,Female,Age00,[0],832,100,,1836.644592
EU,CHE,1960,Female,Age01_04,[1-4],186,100,,108.5180864
EU,CHE,1960,Female,Age05_09,[5-9],68,100,,33.83084577
EU,CHE,1960,Female,Age10_14,[10-14],58,100,,27.8177458
EU,CHE,1960,Female,Age15_19,[15-19],75,100,,36.94581281
EU,CHE,1960,Female,Age20_24,[20-24],117,100,,59.60264901
EU,CHE,1960,Female,Age25_29,[25-29],136,100,,69.42317509
EU,CHE,1960,Female,Age30_34,[30-34],146,100,,76.64041995
EU,CHE,1960,Female,Age35_39,[35-39],238,100,,125.9925887
EU,CHE,1960,Female,Age40_44,[40-44],316,100,,197.1303805
EU,CHE,1960,Female,Age45_49,[45-49],525,100,,296.4426878
EU,CHE,1960,Female,Age50_54,[50-54],847,100,,470.8171206
EU,CHE,1960,Female,Age55_59,[55-59],1243,100,,747.8941035
EU,CHE,1960,Female,Age60_64,[60-64],1866,100,,1292.243767
EU,CHE,1960,Female,Age65_69,[65-69],2524,100,,2173.987941
EU,CHE,1960,Female,Age70_74,[70-74],3431,100,,3859.392576
EU,CHE,1960,Female,Age75_79,[75-79],4397,100,,7069.131833
EU,CHE,1960,Female,Age80_84,[80-84],4370,100,,12450.14245
EU,CHE,1960,Female,Age85_over,[85+],3687,100,,23043.75
EU,CHE,1961,All,Age_all,[All],51004,100,826.3912009,938.5396732
EU,CHE,1961,All,Age00,[0],2086,100,,2191.176471
EU,CHE,1961,All,Age01_04,[1-4],402,100,,112.0713688
EU,CHE,1961,All,Age05_09,[5-9],212,100,,50.74198181
EU,CHE,1961,All,Age10_14,[10-14],168,100,,38.83495146
EU,CHE,1961,All,Age15_19,[15-19],362,100,,82.74285714
EU,CHE,1961,All,Age20_24,[20-24],469,100,,117.3673674
EU,CHE,1961,All,Age25_29,[25-29],403,100,,101.6393443
EU,CHE,1961,All,Age30_34,[30-34],469,100,,124.1397565
EU,CHE,1961,All,Age35_39,[35-39],607,100,,165.6207367
EU,CHE,1961,All,Age40_44,[40-44],840,100,,258.143823
EU,CHE,1961,All,Age45_49,[45-49],1358,100,,402.0130255
EU,CHE,1961,All,Age50_54,[50-54],2340,100,,674.5459787
EU,CHE,1961,All,Age55_59,[55-59],3397,100,,1077.045022
EU,CHE,1961,All,Age60_64,[60-64],4615,100,,1720.089452
EU,CHE,1961,All,Age65_69,[65-69],5651,100,,2680.740038
EU,CHE,1961,All,Age70_74,[70-74],7000,100,,4484.304933
EU,CHE,1961,All,Age75_79,[75-79],7957,100,,7422.574627
EU,CHE,1961,All,Age80_84,[80-84],7051,100,,12052.99145
EU,CHE,1961,All,Age85_over,[85+],5617,100,,21276.51515
EU,CHE,1961,Male,Age_all,[All],26923,100,1008.705185,1021.784508
EU,CHE,1961,Male,Age00,[0],1213,100,,2506.198347
EU,CHE,1961,Male,Age01_04,[1-4],232,100,,126.4994547
EU,CHE,1961,Male,Age05_09,[5-9],126,100,,59.15492958
EU,CHE,1961,Male,Age10_14,[10-14],101,100,,45.86739328
EU,CHE,1961,Male,Age15_19,[15-19],270,100,,122.1166893
EU,CHE,1961,Male,Age20_24,[20-24],363,100,,182.1374812
EU,CHE,1961,Male,Age25_29,[25-29],290,100,,146.0957179
EU,CHE,1961,Male,Age30_34,[30-34],301,100,,162.7027027
EU,CHE,1961,Male,Age35_39,[35-39],348,100,,196.9439728
EU,CHE,1961,Male,Age40_44,[40-44],503,100,,316.3522013
EU,CHE,1961,Male,Age45_49,[45-49],833,100,,504.8484849
EU,CHE,1961,Male,Age50_54,[50-54],1451,100,,871.9951923
EU,CHE,1961,Male,Age55_59,[55-59],2169,100,,1472.505092
EU,CHE,1961,Male,Age60_64,[60-64],2849,100,,2374.166667
EU,CHE,1961,Male,Age65_69,[65-69],3204,100,,3513.157895
EU,CHE,1961,Male,Age70_74,[70-74],3695,100,,5667.177914
EU,CHE,1961,Male,Age75_79,[75-79],3816,100,,8732.265446
EU,CHE,1961,Male,Age80_84,[80-84],3039,100,,13566.96429
EU,CHE,1961,Male,Age85_over,[85+],2120,100,,22795.69893
EU,CHE,1961,Female,Age_all,[All],24081,100,681.1502258,860.1893195
EU,CHE,1961,Female,Age00,[0],873,100,,1865.384615
EU,CHE,1961,Female,Age01_04,[1-4],170,100,,96.97661152
EU,CHE,1961,Female,Age05_09,[5-9],86,100,,41.9921875
EU,CHE,1961,Female,Age10_14,[10-14],67,100,,31.54425612
EU,CHE,1961,Female,Age15_19,[15-19],92,100,,42.51386322
EU,CHE,1961,Female,Age20_24,[20-24],106,100,,52.92061907
EU,CHE,1961,Female,Age25_29,[25-29],113,100,,57.07070707
EU,CHE,1961,Female,Age30_34,[30-34],168,100,,87.13692946
EU,CHE,1961,Female,Age35_39,[35-39],259,100,,136.459431
EU,CHE,1961,Female,Age40_44,[40-44],337,100,,202.5240385
EU,CHE,1961,Female,Age45_49,[45-49],525,100,,303.8194444
EU,CHE,1961,Female,Age50_54,[50-54],889,100,,492.5207756
EU,CHE,1961,Female,Age55_59,[55-59],1228,100,,730.5175491
EU,CHE,1961,Female,Age60_64,[60-64],1766,100,,1190.8294
EU,CHE,1961,Female,Age65_69,[65-69],2447,100,,2045.986622
EU,CHE,1961,Female,Age70_74,[70-74],3305,100,,3635.863586
EU,CHE,1961,Female,Age75_79,[75-79],4141,100,,6521.259843
EU,CHE,1961,Female,Age80_84,[80-84],4012,100,,11113.57341
EU,CHE,1961,Female,Age85_over,[85+],3497,100,,20450.2924
EU,CHE,1962,All,Age_all,[All],55125,100,873.4513192,989.0021171
EU,CHE,1962,All,Age00,[0],2211,100,,2219.879518
EU,CHE,1962,All,Age01_04,[1-4],441,100,,119.6418882
EU,CHE,1962,All,Age05_09,[5-9],234,100,,54.46927374
EU,CHE,1962,All,Age10_14,[10-14],172,100,,38.59964093
EU,CHE,1962,All,Age15_19,[15-19],387,100,,83.13641246
EU,CHE,1962,All,Age20_24,[20-24],445,100,,105.7258256
EU,CHE,1962,All,Age25_29,[25-29],421,100,,104.07911
EU,CHE,1962,All,Age30_34,[30-34],496,100,,128.5307074
EU,CHE,1962,All,Age35_39,[35-39],629,100,,169.8622738
EU,CHE,1962,All,Age40_44,[40-44],894,100,,262.8638636
EU,CHE,1962,All,Age45_49,[45-49],1379,100,,419.2763758
EU,CHE,1962,All,Age50_54,[50-54],2285,100,,657.3647871
EU,CHE,1962,All,Age55_59,[55-59],3535,100,,1109.541745
EU,CHE,1962,All,Age60_64,[60-64],4816,100,,1746.82626
EU,CHE,1962,All,Age65_69,[65-69],6140,100,,2833.410245
EU,CHE,1962,All,Age70_74,[70-74],7428,100,,4654.135338
EU,CHE,1962,All,Age75_79,[75-79],8597,100,,7887.155963
EU,CHE,1962,All,Age80_84,[80-84],7989,100,,13315
EU,CHE,1962,All,Age85_over,[85+],6626,100,,23834.53237
EU,CHE,1962,Male,Age_all,[All],28811,100,1061.199115,1064.590031
EU,CHE,1962,Male,Age00,[0],1258,100,,2476.377953
EU,CHE,1962,Male,Age01_04,[1-4],246,100,,130.9207025
EU,CHE,1962,Male,Age05_09,[5-9],144,100,,65.873742
EU,CHE,1962,Male,Age10_14,[10-14],108,100,,47.76647501
EU,CHE,1962,Male,Age15_19,[15-19],287,100,,121.7649555
EU,CHE,1962,Male,Age20_24,[20-24],337,100,,159.3380615
EU,CHE,1962,Male,Age25_29,[25-29],290,100,,142.6463355
EU,CHE,1962,Male,Age30_34,[30-34],322,100,,169.2954784
EU,CHE,1962,Male,Age35_39,[35-39],407,100,,227.2473479
EU,CHE,1962,Male,Age40_44,[40-44],539,100,,324.5033113
EU,CHE,1962,Male,Age45_49,[45-49],887,100,,550.931677
EU,CHE,1962,Male,Age50_54,[50-54],1432,100,,859.0281944
EU,CHE,1962,Male,Age55_59,[55-59],2243,100,,1502.344273
EU,CHE,1962,Male,Age60_64,[60-64],2935,100,,2376.518219
EU,CHE,1962,Male,Age65_69,[65-69],3477,100,,3714.74359
EU,CHE,1962,Male,Age70_74,[70-74],3906,100,,5891.402715
EU,CHE,1962,Male,Age75_79,[75-79],4108,100,,9294.117647
EU,CHE,1962,Male,Age80_84,[80-84],3391,100,,14807.86026
EU,CHE,1962,Male,Age85_over,[85+],2494,100,,25448.97959
EU,CHE,1962,Female,Age_all,[All],26314,100,724.2489296,917.6634699
EU,CHE,1962,Female,Age00,[0],953,100,,1952.868853
EU,CHE,1962,Female,Age01_04,[1-4],195,100,,107.9136691
EU,CHE,1962,Female,Age05_09,[5-9],90,100,,42.65402844
EU,CHE,1962,Female,Age10_14,[10-14],64,100,,29.1571754
EU,CHE,1962,Female,Age15_19,[15-19],100,100,,43.51610096
EU,CHE,1962,Female,Age20_24,[20-24],108,100,,51.57593123
EU,CHE,1962,Female,Age25_29,[25-29],131,100,,65.10934394
