Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
AS,Asia,JPN,Japan,1960,All,Age_all,[All],706599,100,1048.15554,756.3801603
AS,Asia,JPN,Japan,1960,Male,Age_all,[All],377526,100,1249.502493,822.8983208
AS,Asia,JPN,Japan,1960,Female,Age_all,[All],329073,100,889.2598587,692.1892518
AS,Asia,JPN,Japan,1960,All,Age00,[0],49293,100,,3125.943307
AS,Asia,JPN,Japan,1960,Female,Age00,[0],21579,100,,2805.746977
AS,Asia,JPN,Japan,1960,Male,Age00,[0],27714,100,,3430.799703
AS,Asia,JPN,Japan,1960,All,Age01_04,[1-4],15399,100,,245.6960511
AS,Asia,JPN,Japan,1960,Female,Age01_04,[1-4],6886,100,,224.8269557
AS,Asia,JPN,Japan,1960,Male,Age01_04,[1-4],8513,100,,265.6410897
AS,Asia,JPN,Japan,1960,All,Age05_09,[5-9],8209,100,,89.18366904
AS,Asia,JPN,Japan,1960,Female,Age05_09,[5-9],3422,100,,76.00559714
AS,Asia,JPN,Japan,1960,Male,Age05_09,[5-9],4787,100,,101.8012462
AS,Asia,JPN,Japan,1960,All,Age10_14,[10-14],5545,100,,50.32856521
AS,Asia,JPN,Japan,1960,Female,Age10_14,[10-14],2282,100,,42.28196624
AS,Asia,JPN,Japan,1960,Male,Age10_14,[10-14],3263,100,,58.05533316
AS,Asia,JPN,Japan,1960,All,Age15_19,[15-19],9829,100,,105.5905292
AS,Asia,JPN,Japan,1960,Female,Age15_19,[15-19],3661,100,,79.05761424
AS,Asia,JPN,Japan,1960,Male,Age15_19,[15-19],6168,100,,131.8568558
AS,Asia,JPN,Japan,1960,All,Age20_24,[20-24],14537,100,,174.755064
AS,Asia,JPN,Japan,1960,Female,Age20_24,[20-24],5709,100,,136.1490032
AS,Asia,JPN,Japan,1960,Male,Age20_24,[20-24],8828,100,,213.9965578
AS,Asia,JPN,Japan,1960,All,Age25_29,[25-29],15735,100,,191.670524
AS,Asia,JPN,Japan,1960,Female,Age25_29,[25-29],6379,100,,155.0295283
AS,Asia,JPN,Japan,1960,Male,Age25_29,[25-29],9356,100,,228.4904877
AS,Asia,JPN,Japan,1960,All,Age30_34,[30-34],15575,100,,207.1749714
AS,Asia,JPN,Japan,1960,Female,Age30_34,[30-34],6755,100,,179.1349545
AS,Asia,JPN,Japan,1960,Male,Age30_34,[30-34],8820,100,,235.3945929
AS,Asia,JPN,Japan,1960,All,Age35_39,[35-39],15518,100,,257.005631
AS,Asia,JPN,Japan,1960,Female,Age35_39,[35-39],7369,100,,225.0213754
AS,Asia,JPN,Japan,1960,Male,Age35_39,[35-39],8149,100,,294.9116966
AS,Asia,JPN,Japan,1960,All,Age40_44,[40-44],17427,100,,347.2136439
AS,Asia,JPN,Japan,1960,Female,Age40_44,[40-44],8129,100,,296.1600117
